slug,cmp,market_cap_cr,pe_x,pb_x,ev_ebitda_x,as_of
acme-solar,366,25861,52,4.38,25.69,2026-07-24
adani-green,1395,229773,119,11.53,28.46,2026-07-24
advait-energy,2252,2470,47.8,8.87,30.54,2026-07-24
alpex-solar,836,2136,10.6,3.8,8.38,2026-07-24
australian-premium-solar,275,555,9.6,3.38,6.32,2026-07-24
bf-utilities,580,2191,14.4,10.84,5.05,2026-07-24
bondada-engineering,315,3513,17.3,5.06,,2026-03-31
borosil-renewables,581,8161,22,5.38,16.51,2026-07-24
cesc,163,21721,14.1,1.72,12.59,2026-07-24
danish-power,824,1622,23.5,3.52,17.65,2026-07-24
emmvee-photovoltaic,331,22924,18,6.2,12.05,2026-07-24
ganesh-green-bharat,263,652,8.67,2.33,6.18,2026-07-24
gensol-engineering,18.4,70.6,0.69,0.12,4.37,2026-07-24
gre-renew,184,263,19.4,3.3,16.56,2026-07-24
ind-renewable,11.8,16.4,,0.66,,2026-03-31
indowind-energy,9.14,146,,0.48,10.42,2026-07-24
inox-green,192,7690,74.4,4.52,338.17,2026-07-24
inox-wind,77,13302,32.8,2.09,16.71,2026-07-24
insolation-energy,113,2475,12.3,3.09,11.72,2026-07-24
jsw-energy,552,101180,50.4,3.15,17.55,2026-07-24
k2-infragen,58.7,74.1,5.57,0.83,7.79,2026-07-24
karma-energy,38.2,43.1,,1.46,7.5,2026-07-24
kaycee-energy,87.6,107,5.7,1.04,5.69,2026-07-24
kp-energy,303,2053,11.3,3.91,7.8,2026-07-24
kp-green-engineering,334,1669,12.3,3.65,8.24,2026-07-24
kpi-green,390,7714,16.2,2.53,13.48,2026-07-24
madhav-infra,7.85,212,7.73,0.88,5.71,2026-07-24
nhpc,79.4,79738,21.2,1.93,25.22,2026-07-24
nlc-india,293,40552,11.5,1.89,12.25,2026-07-24
ntpc,347,336523,12.4,1.65,11.5,2026-07-24
ntpc-green,96.3,81171,134,4.28,39.92,2026-07-24
onix-solar,624,2300,34.7,,42.59,2026-07-24
oriana-power,1398,2841,11.3,3.72,8.42,2026-07-24
orient-green-power,10,1165,21.8,1.02,9.49,2026-07-24
oswal-pumps,359,4088,10.8,2.43,8.41,2026-07-24
premier-energies,1019,46301,30.7,10.72,21.04,2026-07-24
rajesh-power,839,1511,10.5,3.71,8.31,2026-07-24
ravindra-energy,171,3413,42.3,8.03,29.89,2026-07-24
refex-renewables,312,140,,-1.7,,2026-03-31
renew-energy,6.1,15600,15,,,2026-03-31
saatvik-green,441,5604,15.6,4.12,12.07,2026-07-24
sahaj-solar,124,273,9.24,1.97,8.63,2026-07-24
servotech-power,95.6,2160,57.7,7.47,30.79,2026-07-24
shakti-pumps,553,6825,32.1,4.01,20.3,2026-07-24
sjvn,67.6,26538,41.3,1.87,17.86,2026-07-24
solarium-green,174,363,19.9,2.23,17.33,2026-07-24
solarworld-energy,202,1748,14.5,2.07,13.63,2026-07-24
solex-energy,938,1013,10.6,4.01,7.35,2026-07-24
sterling-wilson-re,208,4854,15.5,7.48,20.49,2026-07-24
sungarner-energies,273,63.3,16.5,4.2,11.08,2026-07-24
surana-solar,26.3,129,,2.31,286.67,2026-07-24
suzlon-energy,52.3,71290,22.5,7.51,23.77,2026-07-24
swelect-energy,613,931,19.6,1.01,11.45,2026-07-24
tata-power,374,119649,31.1,3.02,14.75,2026-07-24
torrent-power,1434,72265,31.6,3.78,15.46,2026-07-24
ujaas-energy,120,1596,96.1,70.18,42.29,2026-07-24
urja-global,9.22,484,361,2.74,231.65,2026-07-24
vikram-solar,183,6617,14,2.09,7.9,2026-07-24
waa-solar,43,57,87.7,0.31,15.18,2026-07-24
waaree-energies,2702,77728,19.8,5.38,13.7,2026-07-24
waaree-renewable,932,9710,19.1,10.41,14.14,2026-07-24
websol-energy,99.8,4334,14.2,6.88,10.41,2026-07-24
xl-energy,0.25,0.57,,,,2026-03-31
zodiac-energy,251,379,18,3.25,11.11,2026-07-24
